,emoji,date,count
220,😂,2020-08-21,50
221,🙏,2020-08-21,53
222,👍,2020-08-21,45
223,🤔,2020-08-21,32
224,👏,2020-08-21,25
225,❤️,2020-08-21,28
226,😷,2020-08-21,41
227,👇,2020-08-21,24
228,🤣,2020-08-21,17
229,🙄,2020-08-21,25
230,😂,2020-08-28,51
231,🙏,2020-08-28,56
232,👍,2020-08-28,43
233,🤔,2020-08-28,25
234,👏,2020-08-28,28
235,❤️,2020-08-28,47
236,😷,2020-08-28,53
237,👇,2020-08-28,13
238,🤣,2020-08-28,27
239,🙄,2020-08-28,29
240,😂,2020-09-04,71
241,🙏,2020-09-04,49
242,👍,2020-09-04,58
243,🤔,2020-09-04,51
244,👏,2020-09-04,22
245,❤️,2020-09-04,22
246,😷,2020-09-04,41
247,👇,2020-09-04,28
248,🤣,2020-09-04,28
249,🙄,2020-09-04,37
250,😂,2020-09-11,64
251,🙏,2020-09-11,58
252,👍,2020-09-11,53
253,🤔,2020-09-11,50
254,👏,2020-09-11,30
255,❤️,2020-09-11,29
256,😷,2020-09-11,51
257,👇,2020-09-11,33
258,🤣,2020-09-11,37
259,🙄,2020-09-11,41
260,😂,2020-09-18,92
261,🙏,2020-09-18,60
262,👍,2020-09-18,65
263,🤔,2020-09-18,84
264,👏,2020-09-18,30
265,❤️,2020-09-18,42
266,😷,2020-09-18,71
267,👇,2020-09-18,36
268,🤣,2020-09-18,45
269,🙄,2020-09-18,67
270,😂,2020-09-25,61
271,🙏,2020-09-25,49
272,👍,2020-09-25,45
273,🤔,2020-09-25,54
274,👏,2020-09-25,28
275,❤️,2020-09-25,34
276,😷,2020-09-25,44
277,👇,2020-09-25,31
278,🤣,2020-09-25,44
279,🙄,2020-09-25,43
280,😂,2020-10-02,117
281,🙏,2020-10-02,95
282,👍,2020-10-02,53
283,🤔,2020-10-02,100
284,👏,2020-10-02,34
285,❤️,2020-10-02,40
286,😷,2020-10-02,59
287,👇,2020-10-02,38
288,🤣,2020-10-02,55
289,🙄,2020-10-02,58
290,😂,2020-10-09,75
291,🙏,2020-10-09,49
292,👍,2020-10-09,53
293,🤔,2020-10-09,55
294,👏,2020-10-09,34
295,❤️,2020-10-09,28
296,😷,2020-10-09,60
297,👇,2020-10-09,35
298,🤣,2020-10-09,40
299,🙄,2020-10-09,47
300,😂,2020-10-16,85
301,🙏,2020-10-16,53
302,👍,2020-10-16,43
303,🤔,2020-10-16,54
304,👏,2020-10-16,39
305,❤️,2020-10-16,40
306,😷,2020-10-16,60
307,👇,2020-10-16,40
308,🤣,2020-10-16,26
309,🙄,2020-10-16,28
310,😂,2020-10-23,84
311,🙏,2020-10-23,66
312,👍,2020-10-23,32
313,🤔,2020-10-23,46
