,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
0,England,-0.14426446213228478,-0.8317071630747643,-0.7386255871741323,0,0.09499957458811423,0.058270504240677236,0.03290274257928717,0.18548236043988445
1,Scotland,0.14755972699065678,-0.33659642255694777,-0.9004427079044938,0,0.013409961685823753,0.0325838586069369,0.041380028735632186,-0.004789272030651339
2,Northern Ireland,0.530181905942374,0.0,-0.7164240760473067,0,0.17777777777777778,0.11826751643418308,0.1196077777777778,-0.0111111111111111
3,Wales,-0.437251115038326,-0.9233531573142162,-0.5994637757142499,0,-0.03362573099415204,0.007832251609663863,0.03870095029239765,0.005847953216374261
4,England,0.10939485280173265,-0.7866530862867348,-0.7192352282200533,0,0.10125698289124899,0.03616254726122116,0.056141771155502514,0.1870934876288765
5,Scotland,0.21399741960416854,-0.7528539984523733,-0.9091201971281005,0,0.04978354978354978,0.023061673228815707,-0.027090412748171363,0.07851918196745783
6,Northern Ireland,0.4107541663524404,0.0,-0.6855920589973092,0,0.17647058823529413,0.06985378115892822,0.14675196078431374,0.2156862745098039
7,Wales,-0.17818244799671995,-0.5639700043939747,-0.5237432993907095,0,0.26388888888888884,-0.090292976056865,-0.036515277777777785,0.38888888888888884
8,England,0.9346331573870693,-0.6755196968762619,-0.7459860091444562,0,-0.0263171019774669,-0.0015953151467218625,-0.03451084884340282,0.10386893535305002
9,Scotland,1.0444685772730655,-0.8048861954393015,-0.9230041798858712,0,0.10565756082997461,-0.015034767228681429,-0.0528589908941633,-0.047559337214509625
10,Northern Ireland,1.1273206038920423,0.0,-0.6903354462357704,0,-0.19999999999999998,0.02381477473144135,0.0108883333333333,0.18333333333333335
11,Wales,1.505763887773719,-0.7077232655620713,-0.5482411005542078,0,0.03782505910165483,0.02193991230038619,-0.07723933953900705,0.06841016548463359
12,England,2.703484113526951,-0.6184511996114245,-0.725566774000977,0,0.11848310040635907,0.05291548057144336,0.010357477054925788,0.1351903107318446
13,Scotland,2.9047239704513954,-0.8569183924262297,-0.8535842660970174,0,-0.008610629750060033,0.010316151207027408,0.03751853377153415,0.0006085701737875666
14,Northern Ireland,1.8438870414316442,0.0,-0.6903354462357704,0,-0.20039682539682543,0.04718478005680385,-0.10211289682539683,-0.1488095238095238
15,Wales,3.621491335280168,-0.7795998961461196,-0.5437869548881172,0,0.09862895256916993,0.0286627430743116,0.045330550065876135,0.10093461791831354
16,England,2.4261499291990916,-0.4802853641281339,-0.6887646641493577,0,0.14241060348181897,0.05705072686570327,0.07469742045658007,0.15591068353835605
17,Scotland,3.004380509371663,-0.7008218014654451,-0.8501132704075748,0,-0.026303846030012356,0.06319922862978108,0.07998895015565907,0.17769901948400932
18,Northern Ireland,2.560453478971246,0.0,-0.6808486717588481,0,0.36437246963562747,0.14144394226631066,0.05585438596491229,0.2058029689608637
