,emoji,date,count,colour
471,❤️,2021-02-12,58,"rgb(110, 85, 18)"
472,🤣,2021-02-12,58,"rgb(224, 42, 127)"
473,👍,2021-02-12,32,"rgb(123, 196, 143)"
474,🙏,2021-02-12,31,"rgb(150, 22, 68)"
475,😊,2021-02-12,24,"rgb(236, 154, 218)"
476,👏,2021-02-12,22,"rgb(162, 53, 41)"
477,🤔,2021-02-12,18,"rgb(108, 220, 231)"
478,🙄,2021-02-12,23,"rgb(14, 75, 214)"
479,😍,2021-02-12,23,"rgb(163, 16, 230)"
480,😂,2021-02-19,142,"rgb(149, 4, 130)"
481,❤️,2021-02-19,52,"rgb(110, 85, 18)"
482,🤣,2021-02-19,66,"rgb(224, 42, 127)"
483,👍,2021-02-19,58,"rgb(123, 196, 143)"
484,🙏,2021-02-19,31,"rgb(150, 22, 68)"
485,😊,2021-02-19,24,"rgb(236, 154, 218)"
486,👏,2021-02-19,22,"rgb(162, 53, 41)"
487,🤔,2021-02-19,34,"rgb(108, 220, 231)"
488,🙄,2021-02-19,30,"rgb(14, 75, 214)"
489,😍,2021-02-19,25,"rgb(163, 16, 230)"
490,😂,2021-02-26,98,"rgb(149, 4, 130)"
491,❤️,2021-02-26,43,"rgb(110, 85, 18)"
492,🤣,2021-02-26,59,"rgb(224, 42, 127)"
493,👍,2021-02-26,49,"rgb(123, 196, 143)"
494,🙏,2021-02-26,33,"rgb(150, 22, 68)"
495,😊,2021-02-26,29,"rgb(236, 154, 218)"
496,👏,2021-02-26,23,"rgb(162, 53, 41)"
497,🤔,2021-02-26,17,"rgb(108, 220, 231)"
498,🙄,2021-02-26,30,"rgb(14, 75, 214)"
499,😍,2021-02-26,22,"rgb(163, 16, 230)"
500,😂,2021-03-05,65,"rgb(149, 4, 130)"
501,❤️,2021-03-05,36,"rgb(110, 85, 18)"
502,🤣,2021-03-05,44,"rgb(224, 42, 127)"
503,👍,2021-03-05,40,"rgb(123, 196, 143)"
504,🙏,2021-03-05,31,"rgb(150, 22, 68)"
505,😊,2021-03-05,23,"rgb(236, 154, 218)"
506,👏,2021-03-05,32,"rgb(162, 53, 41)"
507,🤔,2021-03-05,18,"rgb(108, 220, 231)"
508,🙄,2021-03-05,16,"rgb(14, 75, 214)"
509,😍,2021-03-05,12,"rgb(163, 16, 230)"
510,😂,2021-03-12,84,"rgb(149, 4, 130)"
511,❤️,2021-03-12,39,"rgb(110, 85, 18)"
512,🤣,2021-03-12,36,"rgb(224, 42, 127)"
513,👍,2021-03-12,37,"rgb(123, 196, 143)"
514,🙏,2021-03-12,29,"rgb(150, 22, 68)"
515,😊,2021-03-12,19,"rgb(236, 154, 218)"
516,👏,2021-03-12,18,"rgb(162, 53, 41)"
517,🤔,2021-03-12,23,"rgb(108, 220, 231)"
518,🙄,2021-03-12,20,"rgb(14, 75, 214)"
519,😍,2021-03-12,22,"rgb(163, 16, 230)"
520,😂,2021-03-19,86,"rgb(149, 4, 130)"
521,❤️,2021-03-19,60,"rgb(110, 85, 18)"
522,🤣,2021-03-19,38,"rgb(224, 42, 127)"
523,👍,2021-03-19,40,"rgb(123, 196, 143)"
524,🙏,2021-03-19,38,"rgb(150, 22, 68)"
525,😊,2021-03-19,29,"rgb(236, 154, 218)"
526,👏,2021-03-19,17,"rgb(162, 53, 41)"
527,🤔,2021-03-19,26,"rgb(108, 220, 231)"
528,🙄,2021-03-19,34,"rgb(14, 75, 214)"
529,😍,2021-03-19,15,"rgb(163, 16, 230)"
