date,county,country,nn-predictions_avg,nn-score_avg,vader-predictions_avg,vader-score_avg,textblob-predictions_avg,textblob-score_avg,native-predictions_avg,native-score_avg,id
2020-03-20,Hampshire,England,0.0,0.0,-1.0,-0.44285,0.0,0.0,-1.0,-1.0,40
2020-03-20,West Sussex,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
2020-03-20,East Sussex,England,0.17647058823529413,0.17647058823529413,-0.17647058823529413,-0.1362,0.23529411764705882,0.015740740740740722,-0.17647058823529413,-0.17647058823529413,42
2020-03-20,Devon,England,0.4,0.4,0.7,0.40221999999999997,0.5,0.16977777777777775,0.2,0.2,43
2020-03-20,Somerset,England,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3847333333333333,-0.3333333333333333,-0.045370370370370366,-1.0,-1.0,44
2020-03-20,Bristol,England,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.012888888888888894,0.3333333333333333,0.1325220458553792,0.3333333333333333,0.3333333333333333,45
2020-03-20,Gloucestershire,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
2020-03-20,Dyfed,Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47
2020-03-20,Gwynedd,Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
2020-03-20,Clwyd,Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49
2020-03-20,Merseyside,England,0.5172413793103449,0.5172413793103449,-0.034482758620689655,0.0086103448275862,0.5172413793103449,0.1386390222166084,0.10344827586206896,0.10344827586206896,50
2020-03-20,Lancashire,England,-0.2,-0.2,-0.6,-0.45834,0.2,-0.0317727272727273,0.2,0.2,51
2020-03-20,Cumbria,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52
2020-03-20,Dumfries,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
2020-03-20,The Stewartry of Kirkcudbright,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54
2020-03-20,Wigtown,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55
2020-03-20,Fife,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
2020-03-20,Angus,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
2020-03-20,Dunbartonshire,Scotland,1.0,1.0,0.3333333333333333,0.16340000000000002,0.0,0.19166666666666665,-0.3333333333333333,-0.3333333333333333,58
2020-03-20,Ayrshire and Arran,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59
2020-03-20,Kincardineshire,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
2020-03-20,City of Aberdeen,Scotland,-0.1111111111111111,-0.1111111111111111,0.0,-0.04613333333333332,0.2222222222222222,0.06208774250440917,0.1111111111111111,0.1111111111111111,61
2020-03-20,Aberdeenshire,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62
2020-03-20,Ross and Cromarty,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
2020-03-20,Inverness,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
2020-03-20,Banffshire,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
2020-03-20,Moray,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
2020-03-20,Sutherland,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67
2020-03-20,Caithness,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
2020-03-20,Shetland,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69
2020-03-20,Renfrewshire,Scotland,-1.0,-1.0,0.0,-0.07624999999999998,0.0,-0.16388888888888892,1.0,1.0,70
2020-03-20,Tyne & Wear,England,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.10695454545454544,0.22727272727272727,0.03115770803270803,0.45454545454545453,0.45454545454545453,71
2020-03-20,Lincolnshire,England,1.0,1.0,1.0,0.6114,1.0,0.4979166666666667,1.0,1.0,72
2020-03-20,East Riding of Yorkshire,England,0.5,0.5,0.5,0.203575,0.5,0.0782986111111111,-1.0,-1.0,73
2020-03-20,North Yorkshire,England,0.1111111111111111,0.1111111111111111,0.0,0.03135555555555557,0.1111111111111111,-0.031642416225749585,0.3333333333333333,0.3333333333333333,74
2020-03-20,West Glamorgan,Wales,-0.05263157894736842,-0.05263157894736842,0.15789473684210525,0.13602105263157893,-0.05263157894736842,0.009942074251284799,0.05263157894736842,0.05263157894736842,75
2020-03-20,Durham,England,-1.0,-1.0,0.5,0.08275,0.5,0.125,0.0,0.0,76
2020-03-20,Kent,England,1.0,1.0,1.0,0.2023,1.0,0.1097222222222222,1.0,1.0,77
2020-03-20,Essex,England,0.3333333333333333,0.3333333333333333,0.0,0.009099999999999978,0.16666666666666666,0.03684198288690477,-0.3333333333333333,-0.3333333333333333,78
2020-03-20,Suffolk,England,-1.0,-1.0,1.0,0.6124,1.0,0.1148148148148148,-1.0,-1.0,79
2020-03-20,Northumberland,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
2020-03-20,Argyll and Bute,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
2020-03-20,Mid Glamorgan,Wales,-0.05263157894736842,-0.05263157894736842,0.15789473684210525,0.13602105263157893,-0.05263157894736842,0.009942074251284799,0.05263157894736842,0.05263157894736842,82
2020-03-20,Orkney,Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
2020-03-20,Gwent,Wales,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,-0.09845555555555557,-0.1111111111111111,0.0328317901234568,-0.1111111111111111,-0.1111111111111111,84
2020-03-20,South Glamorgan,Wales,-0.05263157894736842,-0.05263157894736842,0.15789473684210525,0.13602105263157893,-0.05263157894736842,0.009942074251284799,0.05263157894736842,0.05263157894736842,85
2020-03-20,Norfolk,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86
2020-03-20,Western Isles,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87
2020-03-20,Cornwall,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88
2020-03-20,Dorset,England,0.14285714285714285,0.14285714285714285,0.0,0.08770000000000001,0.0,-0.010330687830687841,0.42857142857142855,0.42857142857142855,89
